station,load
GOLLAPROLU     ,11
TELTA          ,6
NAJIBABAD JN   ,42
KORBA          ,7
RAHIMABAD      ,4
CHAKARBHATHA   ,2
KANNUR         ,92
RAWANIA DUNGAR ,4
MAYILADUTURAI J,34
RAJALDESAR     ,8
BARHAN         ,1
SINI JN        ,20
UJALVAV        ,6
PAPINAYAKNAHALI,4
BIJAYSOTA      ,2
DARBHANGA JN   ,48
SATUR          ,51
SIVAGANGA      ,14
MADWARANI      ,1
MIRTHAL        ,2
GOPALAPATNAM   ,2
MANJESHWAR     ,7
DALKOLHA       ,29
JIRADEI        ,6
BAKTAL         ,3
SARDARGRAM     ,2
MALAKPET       ,4
BAGAHA         ,16
KASARAGOD      ,72
ITARSI JN      ,262
PADADHARI      ,12
GUMANI         ,5
REDDIPALLE     ,2
RAYADRUG       ,2
BALGANUR       ,4
GHATSILA       ,17
KAYAR          ,2
CHHANDRAULI    ,1
RAMPURA PHUL   ,17
BAGRI NAGAR    ,2
BARGARH        ,4
GINIGERA       ,4
CHINCHLI       ,4
RAJULA JN      ,2
PARADSINGA HALT,4
SHANKARPALLI   ,16
DEVALGAON AUCHR,5
FATEHPUR SIKRI ,6
SASNI          ,1
JALANDHAR CANT ,117
KHURIAL        ,4
KHIRSADOH JN   ,3
RUKMAPUR       ,2
GHAZIABAD      ,171
KANALAS JN     ,6
VEJANDLA       ,4
ANAND JN       ,169
RASIPURAM      ,6
ARAVANKADU     ,4
NALLACHERUVU   ,2
BAIRAGARH      ,44
RENUKUT        ,16
SULGARE        ,3
PRASANNAYANAPAL,4
ANNIGERI       ,17
TANUKU         ,19
LOKMANYATILAK T,127
NAIHATI JN     ,47
MHOW           ,4
MIDNAPORE      ,36
GOMTA          ,2
VIRAMDAD       ,2
UKHRA          ,2
KRISHNA CH PURA,2
JOLARPETTAI    ,160
BARGAWAN       ,2
PAKNI          ,2
LUMDING JN     ,45
CHITRASANI     ,2
BALLABGARH     ,27
GONDIA JN      ,103
KARISATH       ,6
BADULIPAR      ,2
KHALISPUR      ,8
MAGHAR         ,8
WARIA          ,9
KALLIGUDI      ,1
ALUVA          ,121
BIDADI         ,16
DEROL          ,10
MARWAR BHINMAL ,8
BOINDA         ,23
BHADAN         ,2
ROHAT          ,2
AKOT           ,4
UTRAHTIA       ,4
ALLEPPEY       ,49
TULJAPUR       ,2
TIRUCHENDUR    ,2
JAGADISHPUR    ,4
SADAR BAZAR    ,3
FATWA          ,64
HOSDURGA ROAD  ,5
DASUYA         ,27
TO KURSEONG    ,2
KOTTARAKARA    ,2
NANJANGUD TOWN ,2
SHAHJEHANPUR   ,96
BARABIL        ,6
NAWABGANJ GONDA,2
ISARDA         ,11
NMG TAMDALGE   ,1
KHADARPET      ,2
SAHARANPUR     ,107
DIGBOI         ,2
BARKUR         ,6
METUPALAIYAM   ,4
BARUA BAMUNGAON,2
CHIKHLI        ,2
BHARWA SUMERPUR,3
RUDRAPUR CITY  ,18
KOTHARI ROAD   ,1
ANARA          ,17
BINA JN        ,136
URULI          ,38
BHANDAK        ,5
NANGLOI        ,14
NAGARIA SADAT  ,6
LONAVALA       ,109
PARAVUR        ,22
YERPEDU        ,6
GANGADHARPUR   ,4
LAKKADKOT      ,4
CHAKARPUR      ,2
RAICHUR        ,62
KOLLIKHUTAHA   ,2
TAKSAL         ,2
SELU           ,32
ELURU          ,123
PALGHAT TOWN   ,2
LONDA JN       ,43
NEW TINSUKIA JN,29
GHANAULI       ,2
NPA SHVRAMPALLI,1
JAUNPUR JN     ,42
RAJGIR         ,7
MAHIDPUR ROAD  ,11
KANPUR ANWRGANJ,26
GURRA          ,2
LINGAMPALLI    ,29
JANDIALA       ,12
KHANYAN        ,1
MARKONA        ,4
REGADIPALLI    ,2
CHALGERI       ,2
GADWAL         ,40
BALUGAON       ,63
SISVINHALLI    ,8
BAHMAN DIWANA  ,1
BARAUT         ,4
VINHERE        ,4
BARSI TOWN     ,16
KANYAKUMARI    ,18
PIPARSAND      ,1
JAGI ROAD      ,29
MANOHARABAD    ,2
VAIKOM         ,10
KRISHNAMMAKONA ,4
HAVERI         ,37
BETTIAH        ,18
AMALNER        ,40
MOTH           ,10
RAJCHANDRAPUR  ,2
KARELI         ,23
VARANGAON      ,7
KATORA         ,6
RAMPUR         ,65
NIMBAL         ,11
RANGIYA JN     ,58
BHUPIA MAU     ,4
PUNE JN        ,208
SAMALKHA       ,15
GARH JAIPUR    ,2
BURGULA HALT   ,1
SIMBHOOLI      ,6
LEHRA GAGA     ,9
SHIKOHABAD JN  ,42
UMARDASHI      ,2
AKBARGANJ      ,6
BHILAD         ,11
HATHBANDH      ,6
DHANDARI KALAN ,4
UDUPI          ,60
SHAHZAD NAGAR  ,2
THRISUR        ,149
VARKALASIVAGIRI,53
KHANDALA       ,17
BHACHAU BG     ,26
KIRAKAT        ,2
BARACHAK       ,4
RAVER          ,12
FURSATGANJ     ,7
BANDAKPUR      ,9
HARANGUL       ,4
MURAGACHA      ,4
CHAKARLAPALLI  ,2
HAKIMPUR       ,2
SUBARNAMRIGI   ,3
INDORE JN MG   ,4
MAIHAR         ,79
YUSUFPUR       ,20
KHURHAND       ,7
BABHNAN        ,19
ARAG           ,2
MANMAD JN      ,186
KARANJADI      ,4
AMLI           ,4
BRAHMAPUR      ,120
SARERI         ,2
SHMATA VD KATRA,19
GIDDARBAHA     ,15
JHAPATER DHAL  ,2
KAIKORAM       ,3
DHURWASIN      ,12
KULPAHAR       ,11
GUDIPUDI       ,2
TALBAHAT       ,10
RANIGANJ       ,48
PUNTAMBA       ,26
UDALKACHAR     ,4
MORGRAM        ,4
BAIKUNTHPUR RD ,6
TIPKAI         ,2
CHHARRA        ,2
PALANPUR JN    ,96
MIRHAKUR       ,2
SADAT          ,6
GUDUR JN       ,160
VIRPUR         ,10
NONERA         ,2
BISHNATHGANJ   ,4
JHANSI JN      ,217
SUJNIPARA      ,2
BHIMADOLU      ,8
SRI DUNGARGARH ,8
VALSAD         ,114
BARAGOPAL      ,2
MUNDHA PANDE   ,4
GOLAKGANJ JN   ,4
KATHGHAR       ,2
PINDRAI        ,9
JEYPORE        ,8
DILDARNAGAR JN ,41
SGM JAGARLAMUDI,2
HONNAVAR       ,15
KARWAR         ,50
KESRI SINGHPUR ,2
KALANAUR KALAN ,4
BOMMIDI        ,9
KAHALGAON      ,24
LAMTA          ,7
DHANMANDAL     ,4
THERUBALI      ,18
KOTALPUKUR     ,4
JALESWAR       ,32
MUMBAI CENTRAL ,43
BAYYAVARAM     ,2
RAGAUL         ,5
RANCHI ROAD    ,4
MUFTIGANJ      ,4
DORAHA         ,8
SHIVPURA       ,3
GOALPARA TOWN  ,37
TAKLI BHANSALI ,2
BIROLIYA       ,2
MULANTURUTTI   ,2
BURHANPUR      ,54
RAU            ,4
BARANG         ,6
KESAMUDRAM     ,20
MAKLIDRUG      ,2
DEVARKADRE     ,1
KOTDWARA       ,6
KHORASON ROAD  ,16
DEBARI         ,2
SAROLA         ,6
DOBHI          ,4
ETTAPUR ROAD   ,2
JAPLA          ,12
KAMALUR        ,2
JORAMOW        ,2
BIDAR          ,18
BAGUMRA        ,5
KUMHAR MARENGA ,2
NAKSALBARI     ,2
JASRA          ,3
KHURJA CITY    ,3
AMGURI         ,10
SHIRRAVDE      ,1
NIMACH         ,25
GWALIOR        ,142
VADGAON NILA   ,4
GULAPALYAMU    ,2
KANTH          ,8
RAMPUR BAZAR   ,2
JORHAT TOWN    ,4
PARASNATH      ,49
TRIKARPUR      ,4
TALVADYA       ,6
BAGALIA        ,2
MAKRANA JN     ,44
SITANAGARAM    ,4
DURGAUTI       ,12
JAUNPUR CITY   ,24
PIRTALA        ,4
DEKARGAON      ,2
REOTI          ,2
ADAS ROAD      ,4
DEVBALODA CHRDA,6
SAMALKOT JN    ,135
LILIYA MOTA    ,2
CHIK BANAVAR   ,5
BADLAPUR       ,6
RAMNAGAR       ,12
LAKSAR JN      ,67
JAKHALAUN      ,8
RAMAGUNDAM     ,70
KUDACHI        ,19
SAHARSA JN     ,12
GOVINDGARH     ,11
RAJGRAM        ,8
NAVIPET        ,6
JAGESHARGANJ   ,4
TARLUPADU      ,8
MALIHABAD      ,8
BHIMSEN        ,12
KIVARLI        ,2
ARUMUGANERI    ,2
TARAPITH ROAD  ,4
TENKASI JN     ,2
BULANDSHAHR    ,6
SAHARSRAKUND   ,6
KAIMGANJ       ,2
CHANGANASERI   ,30
NANDGAON       ,21
VINUKONDA      ,14
KUSHTALA       ,2
KASIMPUR       ,4
LALGUDI        ,4
GAJULAGUDEM    ,2
SONTALAI       ,2
KALLAKKUDI PLGH,2
KURDUVADI      ,64
HISAR          ,18
ERNAKULAM JN   ,97
RAIGARH        ,45
SHIRUD         ,4
KOTTAYAM       ,68
AKALTARA       ,25
DADHDEVI       ,1
LALGANJ        ,2
GUDRU HALT     ,4
BUNDKI         ,1
GERATPUR       ,5
BHARAT KUP     ,4
PARISAL        ,2
KAJGAON        ,2
TUNIA          ,4
KAVUTARAM      ,6
KALAMNA        ,2
DIGUVAMETTA    ,6
JANGHAI JN     ,38
SAVDA          ,2
HIMAYATNAGAR   ,8
DUNGRIPALI     ,2
MUGHAL SARAI JN,233
RNINGR JLPAIGRI,8
NAVALUR        ,2
KUNDARA        ,2
VENDODU        ,13
PARVATIPURAM TN,25
GUMTO          ,3
NALLAPADU      ,8
YEVAT          ,8
NALGONDA       ,32
CHAREGAON      ,7
BRAHMANAGUDEM  ,2
UDVADA         ,11
SHAHBAD MARKNDA,10
KUNDARKHI      ,2
KALLAL         ,2
PALACHAURI     ,2
BIJOOR         ,4
GAYA JN        ,100
KEM            ,8
MALLIYALA      ,4
RAIKA BAGH     ,26
GAJAPATINAGARAM,4
KUCHMAN        ,2
TARSARAI       ,4
NIDAMANGALAM   ,8
KENDPOSI       ,2
AUJARI         ,2
MITHAPUR       ,8
NEW MAYNAGURI  ,6
PIMPRI         ,10
SHIMOGA        ,6
AMONI          ,2
SAHJANWA       ,11
PABAI          ,2
VIKRAMGARH ALOT,24
LAR ROAD       ,13
JALESAR ROAD   ,6
SIRSUPHAL      ,2
KARENGI        ,4
ALER           ,18
KALASAMUDRAM   ,2
ADIPUR         ,12
GANNAVARAM     ,4
BANMOR         ,3
SITAPUR CANT   ,8
Station Name,1
KUNDA HARNAMGNJ,14
GUR MARKET     ,1
PERECHERLA     ,6
PEN            ,4
NAGDA JN       ,108
ODELA          ,4
NAZARETH       ,2
RAJAPALAYAM    ,2
BHALWANI       ,2
BALLIA         ,58
KEUTGUDA       ,2
KURWAI KETHORA ,1
TIPTUR         ,34
KARAMGARH SDRGH,1
SANAWAD        ,4
GOWDAVALLI     ,4
NARASARAOPET   ,20
TRIVANDRUM CNTL,86
DABHAURA       ,15
AREPALLI HALT  ,1
UNAWA AITHOR   ,2
UREN           ,6
MALIGURA       ,2
HAFIZPETA      ,4
MUNDIKOTA      ,2
TIRUMANGALAM   ,8
ZAMPANI HALT   ,3
NAGER COIL TOWN,4
HOTGI          ,21
KADIRI         ,10
SIVAKASI       ,2
SALEMPUR JN    ,15
MORENA         ,55
MARKAHANDI U HT,2
BANIHAL        ,2
MIRZA CHEUKI   ,8
MULANUR        ,2
JAROLI         ,4
BHADRACHALAM RD,6
CHHAPRA KACHERI,6
CHILO          ,2
MANAKSAR       ,8
PIPALSANA      ,6
BAKHTIYARPUR JN,99
BAJUD          ,3
DEORI          ,6
KAZIPET JN     ,104
CHAINWA        ,3
HIRNODA        ,8
SIHO           ,2
DAUSNI         ,4
TILARU         ,6
KHIMEL         ,2
KHAGRAGHAT ROAD,18
BELLARY JN     ,32
BAHADUR SINGH W,2
RASAYANI       ,4
SADURA         ,2
MUNIGUDA       ,40
BARADWAR       ,10
GOLANA HALT    ,2
PATTAMBI       ,24
RAMPURA BERI   ,2
MANJHI         ,2
CUDDAPAH       ,44
GOTHAJ         ,4
GUDLAVALLERU   ,6
DELHI S ROHILLA,62
KARUR          ,50
VELLORE TOWN   ,1
JHANTIPAHARI   ,10
BHIMRANA       ,3
LALPUR UMRI    ,2
SASON          ,2
TADIPATRI      ,36
HARNAUT        ,4
KODURU         ,25
GULZARBAGH     ,12
BERMO          ,4
KOKRAJHAR      ,53
SHIVPURI       ,18
RUTHIYAI       ,34
RANAVAV        ,2
MAROLI         ,13
GANJ DUNDWARA  ,2
EKANGARSARAI   ,4
TILDANGA       ,4
SHRIRANGAPATNA ,9
SERAM          ,24
VARVALA        ,5
THIRUVARUR JN  ,14
KARCHANA       ,1
NUZVID         ,10
PURBASTHALI    ,2
KATNI MURWARA  ,37
JHAJJAR        ,2
CHARBHUJA ROAD ,2
NEORA          ,8
QUILANDI       ,30
BALABNRAMAPURAM,1
ANJAR          ,10
RAJKIAWAS      ,2
BHULANPUR      ,12
BHESANA        ,2
PADUA          ,2
WANKANER CITY  ,2
UCHANA         ,7
MOOKAMBIKA ROAD,24
PUNDHAG        ,7
DHAREWADA      ,2
SAPATGRAM      ,2
IPURUPALEM     ,2
CHILAKALAPUDI  ,7
PHAGWARA JN    ,76
BADAMI         ,12
ARNIA          ,2
BOLPUR S NIKTN ,63
BARUD          ,2
BANAHI         ,10
WANGAPALLI     ,2
JAMMU TAWI     ,103
BHATKAL        ,30
AKOLA JN       ,113
MAVELIKARA     ,38
MATHURA JN     ,171
BERCHHA        ,44
TANDA URMAR    ,18
HER            ,2
DIGHA FLAG STN ,16
MASUR          ,5
TIMMAPUR       ,4
SONIK          ,1
CHINCHPADA     ,7
BOLARUM BAZAR  ,2
TURAVUR        ,13
JAKHVADA       ,4
INNANJE        ,2
CHITTOOR       ,45
DAULATABAD     ,6
DAMALCHERUVU   ,2
BHILWARA       ,33
SANSARPUR      ,4
PALGHAR        ,26
BUDHI          ,2
SHAMGARH       ,39
KAVALI         ,38
RAMPUR HAT     ,85
SULADHAL       ,1
MAILANI        ,5
SAVARKUNDLA    ,2
GORA GHUMA     ,2
JHARGRAM       ,14
SORBHOG JN     ,2
BARADIYA       ,2
TIRUVERUMBUR   ,2
